,board,first_player,move_history,winner,1,2,3,4,5,6,7,8,9
98,"[[0, 1, 0], [1, 0, 1], [1, 0, 1]]",1,"[7, -8, 7, -6, 9, -3, 4, -5, 5]",-1,7,-8,7,-6,9,-3,4,-5,5
99,"[[0, 1, 0], [0, 1, -1], [1, 1, 0]]",0,"[-5, 6, -3, 4, -5, 7, -9, 8, 0]",1,-5,6,-3,4,-5,7,-9,8,0
100,"[[1, 1, 0], [-1, 0, 0], [1, -1, 0]]",0,"[-6, 7, -9, 3, -7, 4, -5, 0, 0]",0,-6,7,-9,3,-7,4,-5,0,0
101,"[[1, 1, 0], [1, 0, 0], [1, 0, 1]]",1,"[9, -8, 3, -5, 7, -7, 4, -6, 5]",1,9,-8,3,-5,7,-7,4,-6,5
102,"[[0, 1, 1], [0, 0, 1], [-1, -1, 1]]",1,"[5, -6, 9, -3, 4, -5, 7, 0, 0]",1,5,-6,9,-3,4,-5,7,0,0
103,"[[1, 1, 0], [0, 1, 1], [0, 1, 0]]",1,"[3, -5, 6, -9, 7, -5, 8, -7, 4]",1,3,-5,6,-9,7,-5,8,-7,4
104,"[[0, 1, 1], [1, 0, 0], [-1, 1, 0]]",1,"[4, -7, 5, -9, 5, -6, 8, -3, 0]",0,4,-7,5,-9,5,-6,8,-3,0
105,"[[1, 0, 0], [0, 0, 1], [1, 1, 1]]",1,"[9, -6, 3, -5, 8, -4, 7, -5, 7]",1,9,-6,3,-5,8,-4,7,-5,7
106,"[[-1, -1, 1], [1, -1, -1], [0, 0, 0]]",0,"[-8, 5, -9, 5, -7, 0, 0, 0, 0]",0,-8,5,-9,5,-7,0,0,0,0
107,"[[0, 1, -1], [0, 1, -1], [0, -1, -1]]",0,"[-3, 6, -7, 4, -5, 0, 0, 0, 0]",0,-3,6,-7,4,-5,0,0,0,0
108,"[[-1, 1, 1], [0, 0, 0], [-1, -1, 1]]",1,"[5, -5, 9, -6, 4, -7, 0, 0, 0]",0,5,-5,9,-6,4,-7,0,0,0
109,"[[1, 0, 1], [1, 0, 0], [0, 1, 1]]",1,"[3, -7, 5, -7, 8, -6, 9, -4, 5]",-1,3,-7,5,-7,8,-6,9,-4,5
110,"[[1, -1, 0], [0, 1, -1], [0, -1, 1]]",0,"[-5, 6, -5, 9, -7, 3, 0, 0, 0]",1,-5,6,-5,9,-7,3,0,0,0
111,"[[-1, 1, 0], [0, -1, 0], [1, 1, 0]]",0,"[-9, 8, -7, 7, -5, 4, -5, 0, 0]",0,-9,8,-7,7,-5,4,-5,0,0
112,"[[-1, 0, 1], [0, 1, 1], [1, -1, 0]]",1,"[7, -4, 5, -9, 7, -5, 6, 0, 0]",1,7,-4,5,-9,7,-5,6,0,0
113,"[[1, 0, 1], [-1, 0, 1], [-1, 0, 0]]",0,"[-6, 3, -8, 7, -9, 5, -4, 0, 0]",0,-6,3,-8,7,-9,5,-4,0,0
114,"[[1, 1, 0], [1, 0, 0], [1, 0, 1]]",1,"[3, -5, 5, -8, 9, -7, 4, -6, 7]",1,3,-5,5,-8,9,-7,4,-6,7
115,"[[-1, 1, 1], [0, 1, 1], [0, 0, 0]]",1,"[4, -8, 7, -5, 6, -9, 5, -7, 0]",0,4,-8,7,-5,6,-9,5,-7,0
116,"[[0, 1, 0], [1, 1, 0], [0, 1, -1]]",0,"[-7, 6, -5, 5, -3, 4, -7, 8, 0]",1,-7,6,-5,5,-3,4,-7,8,0
117,"[[0, 0, 0], [0, 1, 1], [1, 0, 1]]",0,"[-4, 7, -3, 7, -5, 6, -8, 9, -5]",0,-4,7,-3,7,-5,6,-8,9,-5
118,"[[1, 1, 1], [0, 0, 1], [0, 1, 0]]",1,"[3, -9, 4, -5, 7, -6, 8, -7, 5]",1,3,-9,4,-5,7,-6,8,-7,5
119,"[[1, 1, 0], [1, 0, 0], [0, 1, 0]]",0,"[-7, 5, -9, 4, -7, 3, -6, 8, -5]",0,-7,5,-9,4,-7,3,-6,8,-5
120,"[[0, 1, 1], [1, 0, 0], [0, 0, 1]]",0,"[-6, 4, -7, 9, -8, 5, -3, 5, -7]",-1,-6,4,-7,9,-8,5,-3,5,-7
121,"[[1, 1, 0], [0, 0, 1], [1, 0, 0]]",0,"[-8, 7, -9, 4, -5, 3, -6, 7, -5]",-1,-8,7,-9,4,-5,3,-6,7,-5
122,"[[0, 0, 0], [0, 1, 1], [1, 1, 0]]",0,"[-5, 7, -3, 7, -9, 8, -5, 6, -4]",0,-5,7,-3,7,-9,8,-5,6,-4
123,"[[1, 1, 0], [0, 1, 1], [1, 0, 0]]",1,"[4, -8, 7, -9, 7, -5, 6, -5, 3]",-1,4,-8,7,-9,7,-5,6,-5,3
124,"[[1, -1, -1], [0, 1, -1], [-1, 0, 1]]",1,"[3, -8, 9, -5, 6, 0, 0, 0, 0]",1,3,-8,9,-5,6,0,0,0,0
125,"[[0, 0, 1], [0, 1, 1], [1, 0, 1]]",1,"[9, -5, 7, -8, 6, -3, 7, -4, 5]",1,9,-5,7,-8,6,-3,7,-4,5
126,"[[0, 1, 0], [1, 0, 0], [1, 1, 0]]",0,"[-5, 8, -6, 7, -3, 4, -7, 5, -9]",0,-5,8,-6,7,-3,4,-7,5,-9
127,"[[1, 0, 1], [1, 0, 0], [0, 1, 1]]",1,"[8, -4, 9, -7, 5, -6, 5, -7, 3]",-1,8,-4,9,-7,5,-6,5,-7,3
128,"[[0, -1, 0], [1, 1, 0], [-1, 1, 0]]",0,"[-3, 8, -7, 5, -5, 6, -9, 0, 0]",0,-3,8,-7,5,-5,6,-9,0,0
129,"[[-1, -1, 1], [0, 0, 0], [-1, 1, -1]]",0,"[-6, 8, -7, 5, -5, 0, 0, 0, 0]",0,-6,8,-7,5,-5,0,0,0,0
130,"[[0, 0, 0], [-1, 1, -1], [1, 0, 1]]",0,"[-3, 6, -8, 9, -4, 7, -5, 0, 0]",0,-3,6,-8,9,-4,7,-5,0,0
131,"[[-1, 1, 0], [1, 0, -1], [0, 1, -1]]",1,"[5, -6, 8, -5, 4, -7, 0, 0, 0]",0,5,-6,8,-5,4,-7,0,0,0
132,"[[0, -1, 1], [1, -1, 1], [0, 0, 1]]",1,"[7, -8, 5, -3, 9, -7, 5, 0, 0]",1,7,-8,5,-3,9,-7,5,0,0
133,"[[1, 1, -1], [1, 0, 1], [0, 0, 0]]",1,"[3, -9, 4, -7, 5, -6, 7, -8, 0]",0,3,-9,4,-7,5,-6,7,-8,0
134,"[[1, -1, 0], [1, 1, 0], [1, 0, -1]]",1,"[6, -8, 7, -5, 3, -7, 5, 0, 0]",1,6,-8,7,-5,3,-7,5,0,0
135,"[[0, 0, 0], [-1, 1, 1], [-1, 1, 0]]",0,"[-3, 6, -9, 7, -5, 8, -4, 0, 0]",0,-3,6,-9,7,-5,8,-4,0,0
136,"[[0, 1, 0], [1, 1, 1], [-1, 0, 0]]",0,"[-5, 7, -3, 6, -8, 4, -9, 5, 0]",1,-5,7,-3,6,-8,4,-9,5,0
137,"[[0, 0, 0], [-1, 1, 1], [0, 1, -1]]",0,"[-4, 8, -7, 7, -5, 6, -3, 0, 0]",0,-4,8,-7,7,-5,6,-3,0,0
138,"[[1, 0, 0], [0, 1, -1], [0, 1, 1]]",0,"[-5, 3, -4, 9, -5, 8, -7, 6, 0]",1,-5,3,-4,9,-5,8,-7,6,0
139,"[[1, 1, 1], [1, 0, 0], [1, 0, 0]]",1,"[5, -7, 5, -9, 4, -8, 7, -6, 3]",1,5,-7,5,-9,4,-8,7,-6,3
140,"[[0, 1, 1], [0, 0, 0], [1, 0, 1]]",0,"[-8, 4, -5, 9, -3, 7, -7, 5, -6]",0,-8,4,-5,9,-3,7,-7,5,-6
141,"[[0, 0, 1], [0, -1, -1], [1, 1, 1]]",1,"[9, -4, 7, -3, 5, -5, 8, 0, 0]",1,9,-4,7,-3,5,-5,8,0,0
142,"[[0, 0, 1], [1, 1, 1], [0, 0, -1]]",0,"[-4, 5, -3, 5, -7, 7, -8, 6, 0]",1,-4,5,-3,5,-7,7,-8,6,0
143,"[[1, 1, 1], [1, 0, -1], [0, 0, -1]]",1,"[5, -6, 5, -7, 3, -8, 4, 0, 0]",1,5,-6,5,-7,3,-8,4,0,0
144,"[[0, 0, 0], [1, 0, 1], [0, 1, 1]]",0,"[-6, 9, -7, 5, -4, 8, -3, 7, -5]",0,-6,9,-7,5,-4,8,-3,7,-5
145,"[[-1, -1, -1], [1, 1, 1], [0, 0, -1]]",1,"[5, -7, 6, -8, 7, 0, 0, 0, 0]",1,5,-7,6,-8,7,0,0,0,0
146,"[[0, 0, 1], [1, 0, 1], [0, 1, 0]]",0,"[-7, 5, -9, 5, -4, 8, -3, 7, -6]",0,-7,5,-9,5,-4,8,-3,7,-6
147,"[[0, 1, 1], [1, 1, 0], [1, 0, 0]]",1,"[6, -7, 5, -3, 4, -9, 5, -8, 7]",1,6,-7,5,-3,4,-9,5,-8,7
148,"[[0, 1, 1], [1, 0, 0], [0, 1, 1]]",1,"[5, -3, 5, -7, 4, -6, 9, -7, 8]",-1,5,-3,5,-7,4,-6,9,-7,8
149,"[[0, 1, -1], [0, -1, 1], [0, -1, -1]]",0,"[-5, 7, -7, 4, -3, 0, 0, 0, 0]",0,-5,7,-7,4,-3,0,0,0,0
150,"[[1, 0, 0], [1, 1, 1], [-1, -1, 0]]",1,"[3, -4, 7, -9, 6, -5, 5, 0, 0]",1,3,-4,7,-9,6,-5,5,0,0
151,"[[1, 0, 0], [0, 1, -1], [1, -1, 1]]",1,"[9, -4, 7, -5, 6, -5, 3, 0, 0]",1,9,-4,7,-5,6,-5,3,0,0
152,"[[1, 1, 1], [1, 0, 0], [0, 1, 0]]",1,"[5, -7, 8, -7, 4, -6, 5, -9, 3]",1,5,-7,8,-7,4,-6,5,-9,3
153,"[[0, 1, 1], [0, 0, 0], [1, 1, 0]]",0,"[-7, 5, -3, 4, -9, 7, -5, 8, -6]",0,-7,5,-3,4,-9,7,-5,8,-6
154,"[[0, 1, 1], [1, 0, 0], [1, 0, 1]]",1,"[9, -7, 4, -3, 5, -8, 5, -6, 7]",-1,9,-7,4,-3,5,-8,5,-6,7
155,"[[1, 0, 1], [0, 1, 1], [1, 0, 0]]",1,"[7, -4, 5, -9, 7, -8, 3, -5, 6]",1,7,-4,5,-9,7,-8,3,-5,6
